Time [s],C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12
600,26541,24158,13175,12454,5600,4968,3133,2209,1934,1203,427,157
605,26865,23927,12906,12278,5669,4902,3175,2237,1960,1208,392,160
610,26697,23815,13126,12358,5609,4948,3195,2149,2007,1167,405,163
615,26399,23869,12870,12439,5682,4917,3177,2161,1870,1188,389,166
620,26450,23676,12908,12499,5661,4960,3121,2101,1960,1196,385,167
625,26562,23923,12975,12415,5673,4892,3185,2121,1983,1157,361,162
630,26461,24039,12986,12450,5502,4871,3127,2174,1977,1195,365,167
635,26580,23731,12863,12375,5544,4909,3126,2168,1873,1146,380,151
640,26393,23633,12956,12334,5528,4892,3154,2137,1918,1165,383,134
645,26726,24019,13032,12228,5604,4863,3125,2167,1928,1161,358,149
650,26563,23932,12953,12489,5618,4821,3080,2119,1921,1128,395,158
655,26551,23845,12929,12327,5562,4864,3092,2124,1912,1205,365,155
660,26492,23873,12851,12234,5618,4831,3158,2121,1945,1092,339,151
665,26795,23853,12967,12229,5498,4912,3151,2059,1925,1177,376,154
670,26667,23540,12918,12236,5575,4889,3098,2109,1952,1159,371,161
675,26439,23422,12914,12362,5712,4766,3108,2099,1930,1197,373,154
680,26473,23723,12858,12247,5564,4853,3101,2109,1915,1136,411,172
685,26224,23869,12819,12164,5451,4874,3097,2030,1908,1135,359,160
690,26294,23534,12766,12094,5517,4774,3060,2143,1893,1193,405,153
695,26449,23526,12957,12100,5599,4780,3064,2097,1868,1179,411,168
700,26428,23597,12748,12267,5349,4861,3070,2051,1901,1197,363,134
705,26212,23475,12685,11836,5575,4773,3174,2129,1871,1179,392,173
710,26330,23713,12626,12020,5494,4751,3054,2126,1874,1162,369,157
715,26187,23577,12750,12189,5524,4824,3034,2091,1873,1097,394,149
720,26520,23767,12716,12195,5462,4603,3067,2091,1945,1129,378,176
725,26229,23432,12603,12156,5502,4758,3077,2053,1876,1135,375,151
730,26057,23549,12810,12015,5468,4682,3067,2106,1858,1152,379,146
735,26240,23265,12683,12082,5470,4801,3047,2069,1877,1181,391,156
740,26130,23556,12790,12025,5531,4630,3024,2127,1881,1129,361,140
745,26068,23531,12636,11987,5399,4696,3087,2048,1875,1172,401,159
750,26374,23397,12477,12175,5419,4667,3042,2053,1862,1115,384,161
755,26185,23407,12526,11963,5367,4698,2979,1979,1904,1145,393,179
760,26014,23289,12734,12182,5470,4679,3045,2039,1860,1127,353,171
765,26298,23544,12665,12072,5420,4686,3086,2012,1877,1115,374,174
770,26192,23377,12628,12136,5400,4698,2995,1998,1796,1128,367,159
775,26127,23305,12712,12106,5455,4662,3061,2025,1835,1133,361,153
780,25944,23313,12640,12113,5386,4692,3048,2100,1857,1081,391,146
785,26273,23282,12705,12153,5241,4704,3019,2012,1820,1108,372,165
790,26162,22961,12366,11919,5408,4549,2984,2012,1862,1118,376,165
795,26254,23298,12511,11883,5374,4681,2978,2040,1829,1089,354,178
800,26152,23307,12313,12080,5435,4665,2954,2000,1853,1097,371,159
805,25846,23244,12528,11871,5373,4717,3026,1975,1862,1121,371,166
810,25978,23113,12503,11856,5415,4607,2976,2012,1800,1162,371,161
815,26001,23273,12584,11757,5363,4640,2947,2085,1861,1041,364,150
820,25563,23211,12407,11812,5363,4563,2872,1995,1818,1098,354,145
825,25921,23134,12618,11937,5340,4627,2920,2005,1837,1149,370,161
830,25947,22878,12506,11994,5331,4577,2976,2017,1810,1073,378,142
835,25936,23093,12664,12179,5268,4632,2956,2058,1802,1095,383,149
840,25692,22790,12288,11811,5278,4722,2863,1962,1803,1095,381,162
845,25761,23361,12306,11731,5300,4538,2954,1947,1789,1136,348,135
850,25990,22931,12537,11903,5274,4592,2862,1924,1821,1136,339,153
855,25697,22882,12409,11746,5316,4588,2978,1988,1860,1138,360,173
860,26156,22856,12537,11913,5323,4559,2980,1984,1827,1114,373,137
865,25721,23197,12414,11934,5319,4576,3020,1974,1829,1082,394,156
870,25616,22947,12516,11618,5322,4589,2996,2001,1841,1129,358,189
875,25480,22669,12465,11734,5389,4576,2865,1972,1788,1105,357,128
880,26009,22839,12185,11852,5317,4539,2883,2016,1840,1123,343,171
885,25868,22685,12153,11783,5303,4431,2948,1966,1815,1091,361,157
890,25878,22745,12467,11537,5285,4552,2912,1991,1851,1036,366,164
895,25441,23009,12265,11855,5213,4469,2878,1898,1774,1106,372,155
900,25931,23196,12336,11649,5207,4505,2874,1920,1791,1045,334,160
905,25434,22762,12292,11737,5173,4476,2884,2004,1752,1107,367,153
910,25813,22926,12320,11765,5244,4496,2905,1989,1781,1063,356,168
915,25833,22892,12270,11734,5230,4528,2909,1937,1809,1122,350,187
920,25760,22785,12230,11717,5227,4504,2938,1950,1828,1047,377,159
925,25661,22962,12297,11634,5059,4499,2895,1971,1818,1081,369,144
930,25664,23027,12394,11557,5181,4445,2857,1988,1873,1066,364,173
935,25509,22869,12360,11542,5244,4585,2853,1983,1708,1118,365,161
940,25428,22807,12370,11490,5211,4494,2861,1964,1783,1070,371,157
945,25409,22769,12326,11406,5102,4502,2925,1989,1753,1056,339,154
950,25591,22607,12236,11543,5135,4572,2904,2038,1742,1062,374,149
955,25842,22694,12341,11505,5158,4482,2832,1931,1737,1046,356,165
960,25333,22622,12131,11648,5256,4457,2875,1964,1783,1067,346,150
965,25588,22719,12082,11411,5195,4445,2839,1926,1784,1062,372,152
970,25545,22561,12254,11410,5103,4526,2865,1991,1702,1082,355,146
975,25582,22919,12290,11542,5071,4424,2892,1931,1720,1086,381,154
980,25609,22778,12239,11544,5130,4489,2868,1921,1712,1105,362,158
985,25139,22819,12238,11613,5075,4485,2809,1944,1764,1073,349,156
990,25585,22600,12416,11434,5210,4454,2780,1927,1689,1102,372,179
995,25353,22576,12100,11384,5175,4392,2852,1940,1781,1113,358,153
1000,25444,22735,12289,11382,5099,4391,2906,1899,1767,1072,358,143
1005,25128,22639,12165,11499,5086,4457,2821,1910,1778,1094,371,163
1010,24908,22672,12174,11598,5125,4439,2806,1902,1745,1056,362,139
1015,25459,22670,12237,11365,5189,4423,2789,1930,1710,1044,366,153
1020,25397,22662,12131,11396,5063,4354,2784,1889,1775,1058,380,158
1025,25479,22468,11982,11391,5025,4386,2864,1933,1782,1062,373,153
1030,25378,22457,12011,11484,5000,4456,2912,1951,1730,1076,366,170
1035,25445,22555,12070,11520,5017,4468,2844,1918,1755,1058,370,148
1040,25172,22349,12006,11546,5119,4296,2766,1908,1723,1037,352,149
1045,25111,22254,12023,11486,5064,4314,2814,1887,1724,1075,351,144
1050,24909,22304,12065,11476,5055,4320,2930,1947,1728,1051,381,144
1055,25349,22293,11864,11329,5106,4333,2895,1930,1748,1056,335,156
1060,24984,22657,11932,11209,5003,4326,2798,1915,1702,1066,370,160
1065,25470,22213,11965,11464,5028,4372,2846,1920,1719,1052,356,164
1070,25027,22482,11991,11148,5066,4355,2740,1917,1735,1057,352,157
1075,25109,22362,12171,11317,4993,4424,2800,1895,1685,1041,335,129
1080,25089,22514,11986,11343,4996,4305,2804,1923,1705,1093,357,140
1085,25091,22390,12136,11413,5060,4331,2809,1911,1713,1041,335,145
1090,25397,22133,11903,11394,5076,4365,2812,1920,1733,1034,371,157
1095,25239,22495,11969,11168,5103,4345,2787,1940,1723,1024,359,149
1100,25131,22437,11909,11197,4990,4282,2807,1941,1686,1085,339,162
1105,25044,22210,11955,11245,5195,4328,2790,1971,1771,1053,348,153
1110,25277,22315,11770,11231,5072,4275,2754,1903,1677,1053,361,140
1115,24836,22095,11855,11190,4982,4363,2831,1901,1745,1086,367,145
1120,25062,22156,11815,11199,4949,4294,2799,1857,1709,1019,366,156
1125,24986,22239,11761,11369,5009,4306,2861,1892,1670,1030,365,133
1130,24836,22259,11782,11164,4991,4362,2795,1956,1743,1064,342,150
1135,25287,22339,11906,11165,5005,4257,2829,1854,1669,1059,362,153
1140,25069,22170,11928,11318,5055,4363,2778,1841,1683,1056,346,149
1145,25117,22463,11917,11295,4942,4277,2776,1838,1755,1045,355,146
1150,24973,22281,11809,11295,4968,4298,2714,1853,1697,1035,325,135
1155,24847,21963,11852,11249,5050,4313,2735,1885,1672,1080,354,174
1160,24964,22056,11761,11194,5092,4270,2665,1923,1663,1077,358,145
1165,24951,22306,11844,11255,4962,4260,2771,1920,1687,1075,365,132
1170,24812,22226,11803,11167,4966,4244,2702,1922,1716,1029,360,147
1175,25072,22249,11894,11099,4989,4264,2731,1835,1750,1009,361,150
1180,25118,22314,11741,11238,4912,4244,2817,1832,1709,996,351,154
1185,24753,22117,11885,11024,5003,4269,2735,1882,1663,1062,348,145
1190,24579,22231,11950,11053,4970,4222,2705,1868,1700,998,357,145
1195,25189,21913,11786,11231,4958,4237,2791,1875,1739,1026,341,123
1200,25094,22059,11870,11107,5025,4239,2683,1899,1682,1048,363,148
1205,24772,22147,11836,11092,4984,4235,2735,1889,1610,1031,366,160
1210,24946,22319,11663,11159,4904,4230,2771,1900,1672,1056,371,159
1215,24722,21946,11821,11187,4846,4322,2755,1859,1625,1049,345,143
1220,24887,21916,11677,10985,5009,4261,2722,1893,1665,1028,332,169
1225,24718,21819,11800,11111,5079,4282,2697,1876,1686,1061,350,142
1230,24658,22117,11936,11117,5002,4242,2707,1863,1683,1031,356,152
1235,24879,21794,11811,11007,5008,4296,2746,1907,1719,1039,362,157
1240,24878,22081,11750,11211,4900,4298,2739,1830,1651,1007,353,135
1245,24392,21872,11652,11190,4993,4234,2695,1818,1732,1009,330,162
1250,25010,22208,11670,10987,4984,4203,2665,1806,1671,1018,364,146
1255,24805,21852,11706,10807,4906,4177,2749,1855,1647,1043,361,160
1260,24717,21935,11686,10929,4880,4153,2667,1823,1686,1073,320,150
1265,24647,21905,11602,11136,4915,4231,2703,1876,1646,1025,343,152
1270,24404,22010,11646,10929,4884,4209,2713,1871,1666,1061,359,139
1275,24736,21938,11716,11037,4845,4283,2684,1826,1618,1070,330,175
1280,24599,21838,11764,10845,4845,4122,2703,1914,1683,1021,360,151
1285,24573,21897,11687,10984,4831,4197,2719,1858,1644,1026,366,152
